"species","TotalReads"
"Cephus cinctus",1
"Sitophilus oryzae",1
"Anthonomus grandis",1
"Harmonia axyridis",1
"Timema monikensis",9
"Timema cristinae",6
"Timema poppense",3
"Timema californicum",3
"Gryllus bimaculatus",1
"Anabrus simplex",1
"Periplaneta americana",1
"Cryptotermes secundus",1
"Planococcus citri",2
"Diaphorina citri",1
"Acyrthosiphon pisum",1
"Frankliniella occidentalis",1
"Pediculus humanus",1
"Homarus americanus",2
"Cherax quadricarinatus",1
"Macrobrachium nipponense",1
"Eriocheir sinensis",1
"Penaeus vannamei",1
"Eurytemora carolleeae",1
"Darwinula stevensoni",4
"Notodromas monacha",1
"Daphnia magna",2
"Oppiella nova",1
"Medioppia subpectinata",1
"Argiope bruennichi",1
"Centruroides vittatus",1
"Strongyloides papillosus",3
"Loa loa",1
"Priapulus caudatus",1
"Crassostrea virginica",2
"Saccostrea echinata",1
"Mizuhopecten yessoensis",1
"Dreissena polymorpha",1
"Littorina saxatilis",1
"Conus episcopatus",1
"Biomphalaria glabrata",1
"Dicrocoelium dendriticum",4
"Spirometra erinaceieuropaei",2
"Dendronephthya gigantea",1
"Actinia tenebrosa",1
"Sycon ciliatum",1
"Rosa agrestis",3
"Rosa rugosa",2
"Malus domestica",1
"Cannabis sativa",3
"Morus notabilis",1
"Ziziphus jujuba",1
"Malpighia emarginata",2
"Hevea brasiliensis",1
"Glycine max",1
"Phaseolus vulgaris",1
"Lotus japonicus",1
"Cucurbita pepo",2
"Tripterygium wilfordii",1
"Brassica rapa",1
"Brassica napus",4
"Raphanus sativus",1
"Capsella rubella",2
"Punica granatum",1
"Eucalyptus grandis",1
"Gossypium arboreum",1
"Solanum lycopersicum",1
"Solanum torvum",2
"Nicotiana attenuata",2
"Camellia sinensis",1
"Impatiens glandulifera",1
"Cornus florida",1
"Beta vulgaris",1
"Zea mays",3
"Digitaria exilis",1
"Eragrostis tef",2
"Oryza sativa",3
"Oryza brachyantha",1
"Lolium perenne",1
"Ananas comosus",2
"Musa acuminata",2
"Zingiber officinale",1
"Thalictrum rostellatum",1
"Cryptomeria japonica",1
"Chloropicon roscoffensis",3
"Cephaleuros virescens",1
"Monoraphidium neglectum",1
"Plasmodium reichenowi",2
"Plasmodium cynomolgi",1
"Paramecium tetraurelia",1
"Metopion fluens",1
"Paulinella chromatophora",1
"Ulnaria acus",1
"uncultured marine eukaryote",4
"uncultured eukaryote",2
"Entamoeba dispar",1
"Dictyostelium discoideum",1
"Naegleria fowleri",1
"Methanospirillum stamsii",3
"Methanogenium sp. S4BF",1
"uncultured Methanoregulaceae archaeon",1
"Haloarcula rara",1
"Methanobacterium formicicum",1
"Methanothermobacter sp. MT-2",1
"Thermoplasmata archaeon",1
"Pyrofollis japonicus",1
"Caldisphaera lagunensis",1
"Acidianus sp. HS-5",1
"Caudoviricetes sp.",2
"Nostoc phage YongM",1
"Listeria phage HB17054",114
"Siphoviridae sp. ct6bU4",3
"Macdonaldcampvirus SB28",3
"uncultured Caudovirales phage",1
"Severe acute respiratory syndrome-related coronavirus",15
"Enterovirus C",1
"Novirhabdovirus salmonid",1
"Alphabaculovirus speridaniae",1
"Saccharomyces cerevisiae synthetic construct",9
"synthetic construct",11
"uncultured prokaryote",2
"Bacillus spizizenii",29511
"Bacillus velezensis",149
"Bacillus amyloliquefaciens",17
"Bacillus subtilis",4877
"Bacillus inaquosorum",94
"Bacillus halotolerans",56
"Bacillus mojavensis",8
"Bacillus vallismortis",73
"Bacillus stercoris",121
"Bacillus tequilensis",50
"Bacillus atrophaeus",22
"Bacillus licheniformis",38
"Bacillus cereus",613
"Bacillus mycoides",3
"Bacillus manliponensis",1
"Bacillus sp. wens01",14
"Bacillus sp. LJBS06",11
"Bacillus sp. (in: firmicutes)",22
"Bacillus sp. B-2",10
"Bacillus sp. PS210",230
"Bacillus sp. PAMC26543",7
"Bacillus sp. MBGLi79",6
"Bacillus sp. FSL R5-0560",3
"Bacillus sp. JS",6
"Bacillus sp. FSL K6-1012",6
"Bacillus rugosus",36
"Bacillus cabrialesii",17
"Bacillus altitudinis",4
"Bacillus swezeyi",1
"Bacillus shivajii",1
"Bacillus fonticola",1
"Lysinibacillus sp. 2017",1
"Lysinibacillus sp. IP-23",11
"Lysinibacillus pakistanensis",1
"Lysinibacillus fusiformis",1
"Priestia megaterium",4
"Neobacillus sp. YX16",1
"Neobacillus sp. OS1-33",1
"Neobacillus mesonae",1
"Cytobacillus firmus",1
"Metabacillus endolithicus",1
"Mangrovibacillus cuniculi",1
"Fictibacillus enclensis",1
"Oceanobacillus sp. FSL K6-2867",1
"Shouchella lehensis",1
"Fervidibacillus albus",1
"Pseudalkalibacillus sp. SCS-8",1
"Listeria monocytogenes",27894
"Listeria innocua",163
"Listeria swaminathanii",66
"Listeria ivanovii",26
"Listeria welshimeri",27
"Listeria seeligeri",21
"Listeria newyorkensis",2
"Listeria grayi",1
"Staphylococcus aureus",26898
"Staphylococcus argenteus",32
"Staphylococcus schweitzeri",10
"Staphylococcus saprophyticus",9
"Staphylococcus simiae",8
"Staphylococcus epidermidis",7
"Staphylococcus pseudintermedius",5
"Staphylococcus delphini",1
"Staphylococcus haemolyticus",5
"Staphylococcus capitis",7
"Staphylococcus saccharolyticus",3
"Staphylococcus hominis",3
"Staphylococcus cohnii",2
"Staphylococcus xylosus",2
"Staphylococcus caprae",2
"Staphylococcus pasteuri",2
"Staphylococcus equorum",6
"Staphylococcus edaphicus",2
"Staphylococcus taiwanensis",2
"Staphylococcus hsinchuensis",2
"Staphylococcus auricularis",1
"Staphylococcus arlettae",1
"Staphylococcus chromogenes",1
"Staphylococcus kloosii",1
"Staphylococcus hyicus",1
"Staphylococcus agnetis",1
"Staphylococcus ratti",1
"Staphylococcus simulans",1
"Staphylococcus lloydii",1
"Staphylococcus lugdunensis",1
"Staphylococcus devriesei",1
"Staphylococcus massiliensis",1
"Mammaliicoccus vitulinus",1
"Mammaliicoccus sciuri",1
"Paenibacillus sp. FSL W8-0194",5
"Paenibacillus sp. GMCo16",1
"Paenibacillus sp. WG02",1
"Paenibacillus riograndensis",1
"Paenibacillus amylolyticus",2
"Paenibacillus silvisoli",1
"Paenibacillus naphthalenovorans",1
"Paenibacillus tundrae",1
"Paenibacillus rhizovicinus",1
"Thermobacillus composti",1
"Geobacillus proteiniphilus",3
"Anoxybacillus gonensis",1
"Anoxybacteroides amylolyticum",1
"Sporosarcina sp. Te-1",1
"Sporosarcina thermotolerans",1
"Sporosarcina ureae",1
"Paenisporosarcina antarctica",1
"Enterococcus faecalis",33502
"Enterococcus sp. 9D6_DIV0238",4
"Enterococcus sp. 9E7_DIV0242",4
"Enterococcus sp. DIV2402",3
"Enterococcus sp. PLM3",40
"Enterococcus sp. 12C11_DIV0727",2
"Enterococcus sp. 7F3_DIV0205",2
"Enterococcus sp. LX10",83
"Enterococcus sp. DIV0212c",1
"Enterococcus sp. DIV1094",1
"Enterococcus sp. DIV0849a",1
"Enterococcus faecium",16
"Enterococcus cecorum",5
"Enterococcus raffinosus",5
"Enterococcus silesiacus",5
"Enterococcus durans",3
"Enterococcus hirae",2
"Enterococcus devriesei",1
"Enterococcus wangshanyuanii",1
"Enterococcus moraviensis",2
"Enterococcus malodoratus",3
"Enterococcus thailandicus",1
"Enterococcus gallinarum",6
"Enterococcus dispar",1
"Enterococcus saccharolyticus",1
"Vagococcus jeotgali",2
"Vagococcus fluvialis",1
"Vagococcus coleopterorum",1
"Vagococcus carniphilus",1
"Tetragenococcus koreensis",1
"Tetragenococcus halophilus",1
"Limosilactobacillus fermentum",21458
"Limosilactobacillus reuteri",2
"Lactiplantibacillus plantarum",5
"Lactiplantibacillus pentosus",1
"Lactiplantibacillus paraplantarum",1
"Lactobacillus delbrueckii",3
"Lactobacillus amylolyticus",1
"Lactobacillus helveticus",1
"Latilactobacillus curvatus",1
"Latilactobacillus sakei",2
"Lacticaseibacillus paracasei",3
"Weissella paramesenteroides",2
"Weissella diestrammenae",1
"Fructilactobacillus myrtifloralis",1
"Fructilactobacillus sanfranciscensis",1
"Companilactobacillus crustorum",1
"Companilactobacillus farciminis",1
"Ligilactobacillus salivarius",1
"Levilactobacillus brevis",1
"Pediococcus pentosaceus",1
"Streptococcus anginosus",1
"Streptococcus equi",1
"Streptococcus mitis",1
"Streptococcus merionis",1
"Streptococcus gordonii",1
"uncultured Trichococcus sp.",1
"Maliibacterium massiliense",4
"Desulfofarcimen acetoxidans",1
"Candidatus Desulforudis audaxviator",1
"Clostridiaceae bacterium M8S5",1
"Eubacteriaceae bacterium ES2",1
"Lacrimispora xylanisolvens",3
"Christensenellaceae bacterium",1
"Tepidibacter aestuarii",1
"Megasphaera elsdenii",1
"Veillonella rodentium",1
"Ezakiella massiliensis",1
"Aedoeadaptatus ivorii",1
"Streptomyces praecox",14
"Streptomyces sp. NBC_00887",1
"Streptomyces sp. 2P-4",1
"Streptomyces sp. NBC_00876",1
"Streptomyces sp. NBC_01217",1
"Streptomyces sp. 2323.1",1
"Streptomyces sp. S063",1
"Streptomyces sp. NBC_01525",1
"Streptomyces sp. NBC_00328",1
"Streptomyces sp. NBC_01232",2
"Streptomyces roseochromogenus",1
"Streptomyces olivoreticuli",1
"Streptomyces europaeiscabiei",1
"Streptomyces durocortorensis",1
"Streptomyces tanashiensis",1
"Kitasatospora sp. NBC_01246",1
"Nocardia wallacei",1
"Nocardia brasiliensis",1
"Nocardia terpenica",1
"Corynebacterium tuberculostearicum",2
"Gordonia jinghuaiqii",1
"Gordonia polyisoprenivorans",1
"Mycobacteroides immunogenum",1
"Microbacterium foliorum",1
"Microcella daejeonensis",1
"Curtobacterium sp. L6-1",1
"Humibacter ginsenosidimutans",1
"Citricoccus muralis",1
"Humibacillus xanthopallidus",1
"Promicromonospora sp. Populi",1
"Nonomuraea coxensis",1
"Microbispora hainanensis",1
"uncultured Actinomycetes bacterium",1
"Nocardioides sp. JS614",1
"Saccharopolyspora erythraea",1
"Dactylosporangium sp. AC04546",1
"Jatrophihabitans telluris",1
"Lancefieldella parvula",2
"uncultured Solirubrobacterales bacterium",1
"Conexibacter woesei",1
"Ilumatobacteraceae bacterium",1
"Acidimicrobiia bacterium",1
"Gloeotrichia echinulata",6
"Rivularia sp. PCC 7116",2
"Nostoc sp. 'Peltigera membranacea cyanobiont' N6",1
"Calothrix sp. PCC 7716",1
"Synechococcus sp. CBW1108",1
"Dehalococcoidia bacterium",2
"uncultured Chloroflexia bacterium",1
"Caldilineaceae bacterium",1
"Spiroplasma phoeniceum",1
"Salmonella enterica",33388
"Salmonella sp. WGH-01",12
"Salmonella sp. A39",1084
"Salmonella sp. JXY0409-18",28
"Salmonella sp. 2018103",28
"Salmonella sp. SA14318",7
"Salmonella bongori",25
"Escherichia coli",20816
"Escherichia albertii",42
"Escherichia sp. E4742",11
"Escherichia sp. KS167_9B",15
"Escherichia fergusonii",33
"Escherichia marmotae",21
"Shigella dysenteriae",155
"Shigella flexneri",431
"Shigella boydii",147
"Shigella sonnei",65
"Klebsiella pneumoniae",184
"Klebsiella quasipneumoniae",2
"Klebsiella variicola",2
"Klebsiella michiganensis",5
"Klebsiella aerogenes",3
"Klebsiella oxytoca",3
"Klebsiella sp. PL-2018",1
"Klebsiella huaxiensis",1
"Klebsiella electrica",1
"Raoultella ornithinolytica",6
"Raoultella planticola",2
"Raoultella terrigena",1
"Citrobacter freundii",27
"Citrobacter braakii",21
"Citrobacter portucalensis",6
"Citrobacter werkmanii",5
"Citrobacter sedlakii",1
"Citrobacter sp. RHB25-C09",5
"Citrobacter sp. R56",2
"Citrobacter rodentium",3
"Citrobacter farmeri",2
"Citrobacter amalonaticus",2
"Citrobacter koseri",2
"Citrobacter enshiensis",1
"Citrobacter tructae",1
"Citrobacter arsenatis",1
"Enterobacter sp. BIDMC 29",4
"Enterobacter cloacae complex sp. R_G8",2
"Enterobacter cloacae",6
"Enterobacter hormaechei",14
"Enterobacter sichuanensis",2
"Enterobacter chuandaensis",1
"Enterobacter roggenkampii",1
"Enterobacter kobei",2
"Enterobacter cancerogenus",1
"Enterobacter asburiae",1
"Enterobacter sp. DTU_2021_1002640_1_SI_PRY_ASU_LCPMC_013",4
"Enterobacter sp. RHBSTW-00994",1
"Enterobacter sp. ECC-175",1
"Enterobacter sp. JUb54",1
"Enterobacter wuhouensis",1
"Enterobacter oligotrophicus",1
"Enterobacter adelaidei",1
"Kosakonia sp. SMBL-WEM22",1
"Kosakonia sp. ML.JS2a",1
"Kosakonia sp. H02",1
"Kosakonia pseudosacchari",2
"Kosakonia calanthes",1
"Kosakonia arachidis",1
"Kosakonia oryzae",1
"Kosakonia radicincitans",1
"Kosakonia cowanii",1
"Cronobacter sp. JZ38",4
"Cronobacter malonaticus",2
"Cronobacter dublinensis",2
"Cronobacter condimenti",1
"Leclercia adecarboxylata",5
"Leclercia sp. 119287",2
"Leclercia pneumoniae",1
"Kluyvera sichuanensis",1
"Kluyvera georgiana",2
"Kluyvera intermedia",1
"Kluyvera cryocrescens",1
"Pseudocitrobacter faecalis",3
"Pseudocitrobacter corydidari",1
"Trabulsiella odontotermitis",3
"Cedecea neteri",3
"Lelliottia amnigena",2
"Superficieibacter sp. HKU1",2
"Enterobacteriaceae bacterium bta3-1",1
"Phytobacter ursingii",1
"Pseudescherichia vulneris",1
"Mangrovibacter phragmitis",1
"Atlantibacter hermannii",1
"Franconibacter daqui",1
"Buttiauxella sp. WJP83",1
"Symbiopectobacterium purcellii",1
"Serratia rubidaea",1
"Serratia fonticola",1
"Serratia surfactantfaciens",1
"Serratia marcescens",2
"Yersinia similis",2
"Gibbsiella quercinecans",2
"Rahnella bonaserana",1
"Rouxiella sp. WC2420",1
"Erwinia sorbitola",2
"Erwinia tracheiphila",1
"Pantoea vagans",3
"Winslowiella toletana",2
"Buchnera aphidicola",1
"Providencia rettgeri",2
"Providencia rustigianii",1
"Xenorhabdus sp. SF857",1
"Xenorhabdus poinarii",1
"uncultured Arsenophonus sp.",2
"Moellerella wisconsensis",1
"Edwardsiella tarda",3
"Edwardsiella piscicida",2
"Dickeya lacustris",1
"Dickeya solani",1
"Lonsdalea populi",1
"Brenneria izadpanahii",1
"Limnobaculum zhutongyuii",1
"Sodalis endosymbiont of Henestaris halophilus",1
"Pseudomonas aeruginosa",16815
"Pseudomonas paraeruginosa",6
"Pseudomonas sp. AN-1",2
"Pseudomonas sp. M30-35",2
"Pseudomonas sp. TCU-HL1",2
"Pseudomonas sp. QE6",1
"Pseudomonas sp. ADAK18",1
"Pseudomonas sp. BC42",6
"Pseudomonas sp. S35",1
"Pseudomonas sp. B21-040",1
"Pseudomonas sp. 7SR1",1
"Pseudomonas sp. PDNC002",1
"Pseudomonas sp. 905_Psudmo1",3
"Pseudomonas sp. PSKL.D1",1
"Pseudomonas sp. DTU_2021_1001937_2_SI_NGA_ILE_001",1
"Pseudomonas sp. C9-3",1
"Pseudomonas sp. SL4(2022)",1
"Pseudomonas sp. PS1(2021)",25
"Pseudomonas sp. KnCO4",1
"Pseudomonas sp. NC02",6
"Pseudomonas sp. GCEP-101",1
"Pseudomonas sp. MM213",1
"Pseudomonas sp. FFPRI_1",1
"Pseudomonas sp. MT-1",2
"Pseudomonas sp. L5B5",1
"Pseudomonas sp. KNUC1026",1
"Pseudomonas sp. CC6-YY-74",1
"Pseudomonas sp. RtIB026",1
"Pseudomonas putida",4
"Pseudomonas plecoglossicida",1
"Pseudomonas oryzihabitans",1
"Pseudomonas fulva",3
"Pseudomonas fluorescens",3
"Pseudomonas orientalis",1
"Pseudomonas tolaasii",1
"Pseudomonas poae",1
"uncultured Pseudomonas sp.",4
"Pseudomonas piscis",1
"Pseudomonas protegens",2
"Pseudomonas syringae",2
"Pseudomonas viridiflava",1
"Pseudomonas knackmussii",6
"Pseudomonas fakonensis",2
"Pseudomonas entomophila",2
"Pseudomonas frederiksbergensis",1
"Pseudomonas anuradhapurensis",1
"Pseudomonas abietaniphila",1
"Pseudomonas benzenivorans",1
"Pseudomonas cavernae",1
"Pseudomonas baltica",1
"Pseudomonas seleniipraecipitans",1
"Pseudomonas vranovensis",1
"Pseudomonas abieticivorans",1
"Pseudomonas hefeiensis",1
"Pseudomonas coleopterorum",1
"Pseudomonas lalucatii",1
"Pseudomonas indoloxydans",1
"Pseudomonas triclosanedens",1
"Pseudomonas glycinae",1
"Pseudomonas argentinensis",1
"Pseudomonas diterpeniphila",1
"Stutzerimonas stutzeri",1
"Aquipseudomonas alcaligenes",1
"Metapseudomonas furukawaii",1
"Halopseudomonas pelagia",1
"Marinobacter sp.",1
"Marinobacter salinus",1
"Vibrio alginolyticus",2
"Vibrio sp. HN007",1
"Vibrio kanaloae",1
"Photobacterium sp. GJ3",1
"Photobacterium sp. DA100",1
"Photobacterium leiognathi",1
"Grimontia kaedaensis",1
"Aeromonas sp. FDAARGOS 1416",1
"Aeromonas sp. FDAARGOS 1408",1
"Aeromonas veronii",2
"Aeromonas salmonicida",2
"Oceanimonas pelagia",1
"Idiomarina sp.",1
"Pseudidiomarina andamanensis",1
"Colwellia sp. 20A7",2
"Pseudoalteromonas sp. KG3",1
"Shewanella woodyi",1
"Paraglaciecola sp. L3A3",1
"Acinetobacter sp. TR11",1
"Acinetobacter sp. YH12068_T",1
"Acinetobacter vivianii",1
"Psychrobacter urativorans",1
"Microbulbifer sp. A4B17",1
"Microbulbifer pacificus",1
"Microbulbifer thermotolerans",1
"Agarilytica rhodophyticola",1
"Cellvibrio sp. PSBB006",1
"Gammaproteobacteria bacterium",4
"Dyella sp. GSA-30",1
"Dyella sp. BiH032",1
"Pseudoxanthomonas spadix",1
"Vreelandella subglaciescola",1
"Halomonas sp. LR3S48",1
"uncultured Gammaproteobacteria bacterium",1
"Actinobacillus porcitonsillarum",1
"Sinimarinibacterium sp. NLF-5-8",1
"Chromatiales bacterium",1
"Orbus wheelerorum",1
"Legionella cherrii",1
"Catillopecten margaritatus gill symbiont",1
"Agrobacterium larrymoorei",1
"Rhizobium gallicum",1
"Pararhizobium sp. IMCC21322",1
"Shinella zoogloeoides",1
"Peteryoungia desertarenae",1
"Bradyrhizobium sp. sBnM-33",2
"Bradyrhizobium ontarionense",2
"Mesorhizobium sp. M9A.F.Ca.ET.002.03.1.2",1
"Mesorhizobium sp. 113-3-9",1
"Chelativorans sp. AA-79",1
"Methylobacterium mesophilicum",2
"Methylorubrum extorquens",1
"Bosea sp. UC22_33",1
"Phreatobacter stygius",1
"Methylocapsa sp. D3K7",1
"Rhodomicrobium vannielii",1
"Sphingopyxis macrogoltabida",1
"Sphingomonas sp. CV7422",1
"Novosphingobium sp. BL-8A",1
"Tsuneonella amylolytica",1
"Erythrobacter sp. SCSIO 43205",1
"Zymomonas mobilis",1
"Stella vacuolata",1
"Stella humosa",1
"Rhodospirillales bacterium",1
"Wolbachia endosymbiont of Dipetalonema caudispina",2
"Paracoccus versutus",1
"Caulobacter sp. NIBR2454",1
"Marinicauda algicola",1
"Ralstonia solanacearum",3
"Burkholderia metallica",1
"Burkholderia singularis",1
"Paraburkholderia kirstenboschensis",1
"Pandoraea vervacti",1
"Caballeronia sp. Lep1P3",1
"Comamonas testosteroni",1
"Vandammella animalimorsus",1
"Alcaligenes nematophilus",2
"Massilia sp. WG5",2
"Vitreoscilla massiliensis",1
"Neisseriaceae bacterium CLB008",1
"Gallionella capsiferriformans",1
"beta proteobacterium CB",1
"Chryseobacterium camelliae",1
"Chryseobacterium indologenes",1
"Candidatus Karelsulcia muelleri",1
"Flavobacteriaceae bacterium",1
"Blattabacterium sp. (Cryptocercus punctulatus) str. Cpu",1
"Porphyromonadaceae bacterium",1
"Bacteroides helcogenes",1
"uncultured Saccharicrinis sp.",1
"Prolixibacteraceae bacterium",1
"Mucilaginibacter rubeus",2
"Pedobacter sp. D749",1
"Arcticibacter sp. MXS-1",1
"Sediminibacterium sp. TEGAF015",1
"Chitinophaga niabensis",1
"Spirosomataceae bacterium TFI 002",1
"Pontibacter sp. G13",1
"Candidatus Sulfidibacterium hydrothermale",1
"Campylobacter lari",1
"Campylobacter coli",1
"Arcobacteraceae bacterium",1
"uncultured Acidobacteriota bacterium",1
"Pyrinomonadaceae bacterium",1
"Deltaproteobacteria bacterium",1
"Sorangium cellulosum",1
"Deferribacter desulfuricans",1
"Desulfarculia bacterium",1
"Planctomycetales bacterium ZRK34",1
"Nitrospiraceae bacterium",1
"uncultured bacterium",56
"unidentified bacterial endosymbiont",1
"Deinococcus soli (ex Cha et al. 2016)",1
"Candidatus Aminicenantes bacterium",1
"Saccharomyces cerevisiae",7727
"Saccharomyces paradoxus",32
"Saccharomyces boulardii (nom. inval.)",12
"Saccharomyces mikatae",7
"Saccharomyces eubayanus",4
"Saccharomyces kudriavzevii",3
"Saccharomyces bayanus",4
"Saccharomyces pastorianus",4
"Saccharomyces cariocanus",2
"Saccharomyces jurei",2
"Zygotorulaspora florentina",3
"Zygosaccharomyces mellis",1
"Arxiozyma heterogenica",1
"Lachancea lanzarotensis",1
"Wickerhamomyces sp.",2
"Saccharomycodes ludwigii",1
"uncultured Galactomyces",4
"Candida metapsilosis",1
"Candida pseudojiufengensis",1
"Candida parapsilosis",1
"Penicillium oxalicum",1
"Penicillium verhagenii",1
"Penicillium hispanicum",1
"Aspergillus homomorphus",3
"Talaromyces rugulosus",1
"Exophiala spinifera",1
"Fonsecaea erecta",1
"Ilyonectria robusta",1
"Trichoderma aggressivum",1
"Hypoxylon fragiforme",1
"Erysiphe acetosae",1
"Mytilinidion resinicola",1
"uncultured Ascomycota",2
"Schizosaccharomyces pombe",1
"Cryptococcus neoformans",5875
"Cryptococcus neoformans AD hybrid",7
"Cryptococcus gattii",5
"Cryptococcus deuterogattii",3
"Cryptococcus decagattii",2
"Cryptococcus tetragattii",1
"Cryptococcus bacillisporus",1
"Cryptococcus sp. (in: basidiomycete fungi)",5
"Cryptococcus wingfieldii",1
"uncultured Pachylepyrium",4
"Laccaria bicolor",1
"Pisolithus orientalis",1
"Fomitopsis serialis",1
"Cystobasidium sp.",2
"Pseudozyma flocculosa",1
"uncultured fungus",1
"Zychaea mexicana",1
"Dicrocoelium dendriticum",71
"Spirometra erinaceieuropaei",4
"Haliotis rubra",1
"Patella vulgata",1
"Gigantopelta aegis",1
"Mytilus trossulus",1
"Crassostrea virginica",1
"Capitella teleta",1
"Bactrocera neohumeralis",1
"Rhagoletis zephyria",1
"Drosophila obscura",1
"Scaptodrosophila lebanonensis",1
"Aedes albopictus",1
"Uranotaenia lowii",1
"Anopheles maculipalpis",1
"Trachymyrmex cornetzi",2
"Colletes gigas",1
"Megalopta genalis",1
"Vespa velutina",1
"Cotesia glomerata",1
"Cephus cinctus",1
"Maniola jurtina",1
"Maniola hyperantus",1
"Pieris rapae",1
"Papilio machaon",1
"Spodoptera frugiperda",1
"Anoplophora glabripennis",1
"Sitophilus oryzae",1
"Tenebrio molitor",1
"Timema genevievae",5
"Timema monikensis",8
"Zootermopsis nevadensis",1
"Triops cancriformis",1
"Penaeus japonicus",1
"Cyprideis torosa",1
"Oppiella nova",1
"Medioppia subpectinata",1
"Platynothrus peltifer",1
"Dermatophagoides pteronyssinus",1
"Ixodes scapularis",1
"Ornithodoros turicata",1
"Strongyloides papillosus",3
"Caenorhabditis elegans",1
"Homo sapiens",15
"Pan troglodytes",3
"Microcebus murinus",1
"Mus musculus",6
"Mesocricetus auratus",2
"Marmota marmota",1
"Ictidomys tridecemlineatus",1
"Sciurus carolinensis",1
"Dipodomys merriami",1
"Cavia porcellus",1
"Oryctolagus cuniculus",1
"Equus caballus",6
"Pteropus alecto",3
"Desmodus rotundus",1
"Lynx canadensis",1
"Odobenus rosmarus",1
"Ovis aries",1
"Antechinus flavipes",2
"Ornithorhynchus anatinus",1
"Meleagris gallopavo",6
"Lagopus muta",1
"Anas acuta",2
"Cygnus olor",1
"Hirundo rustica",1
"Phaenicophaeus curvirostris",1
"Nyctibius grandis",1
"Apteryx mantelli",4
"Struthio camelus",1
"Terrapene triunguis",2
"Caretta caretta",1
"Podarcis muralis",1
"Anolis carolinensis",1
"Tiliqua scincoides",1
"Eublepharis macularius",2
"Xiphophorus hellerii",2
"Kryptolebias marmoratus",1
"Oryzias latipes",1
"Brachyistius frenatus",1
"Parambassis ranga",1
"Simochromis diagramma",2
"Scomber scombrus",8
"Pseudalectrias tarasovi",1
"Pungitius pungitius",1
"Etheostoma spectabile",1
"Micropterus salmoides",1
"Acanthopagrus latus",1
"Cheilinus undulatus",1
"Nerophis ophidion",2
"Dunckerocampus dactyliophorus",1
"Syngnathus typhle",1
"Hippocampus comes",1
"Platichthys flesus",1
"Myripristis murdjan",1
"Salmo trutta",1
"Coregonus clupeaformis",1
"Hypomesus transpacificus",1
"Puntigrus tetrazona",1
"Cyprinus carpio",1
"Danio rerio",2
"Triplophysa rosa",2
"Triplophysa dalaica",1
"Hoplias malabaricus",1
"Colossoma macropomum",1
"Tachysurus vachellii",1
"Engraulis encrasicolus",1
"Conger conger",1
"Narcine bancroftii",1
"Leucoraja erinaceus",1
"Mobula hypostoma",1
"Carcharodon carcharias",1
"Callorhinchus milii",1
"Rhopilema esculentum",1
"Rosa agrestis",3
"Rosa rugosa",1
"Malus domestica",1
"Prunus dulcis",1
"Ziziphus jujuba",4
"Morus notabilis",1
"Glycine max",1
"Vigna radiata",1
"Medicago truncatula",1
"Gastrolobium bilobum",1
"Arachis stenosperma",3
"Cucumis melo",3
"Benincasa hispida",1
"Cucurbita maxima",2
"Mercurialis annua",1
"Jatropha curcas",1
"Populus nigra",1
"Tripterygium wilfordii",1
"Alnus glutinosa",1
"Punica granatum",1
"Syzygium oleosum",1
"Raphanus sativus",1
"Solanum lycopersicum",3
"Capsicum annuum",2
"Salvia splendens",1
"Dactyliophora novae-guineae",1
"Amaranthus tricolor",1
"Eragrostis tef",3
"Zea mays",1
"Oryza brachyantha",1
"Oryza sativa",1
"Brachypodium distachyon",1
"Ananas comosus",2
"Musa acuminata",1
"Spirodela intermedia",1
"Cryptomeria japonica",1
"Picea glauca",1
"uncultured eukaryote",5
"Euplotes harpa",1
"Neospora caninum",1
"Entamoeba dispar",1
"Trichomonas vaginalis",1
"Methanospirillum stamsii",1
"Methanofollis aquaemaris",1
"Natronobeatus ordinarius",1
"Salinibaculum sp. KK48",1
"Macdonaldcampvirus SB28",49
"Caudoviricetes sp.",4
"Severe acute respiratory syndrome-related coronavirus",19
"Picornavirales sp.",1
"Feline calicivirus",1
"Novirhabdovirus salmonid",1
"Human immunodeficiency virus 1",1
"Saccharomyces cerevisiae synthetic construct",10
"synthetic construct",27
"Vector YCy2508",1
"Bacillus spizizenii",33999
"Bacillus velezensis",184
"Bacillus amyloliquefaciens",18
"Bacillus siamensis",3
"Bacillus subtilis",4744
"Bacillus vallismortis",111
"Bacillus inaquosorum",121
"Bacillus halotolerans",45
"Bacillus mojavensis",14
"Bacillus stercoris",104
"Bacillus tequilensis",45
"Bacillus atrophaeus",22
"Bacillus licheniformis",57
"Bacillus paralicheniformis",7
"Bacillus sp. PPSBB_11",657
"Bacillus sp. wens01",27
"Bacillus sp. MD-5",8
"Bacillus sp. SD-4",18
"Bacillus sp. FSL R5-0523",3
"Bacillus sp. FSL R5-0712",9
"Bacillus sp. KH172YL63",1
"Bacillus sp. T3",1
"Bacillus sp. PS108",9
"Bacillus sp. FSL M8-0071",11
"Bacillus sp. OxB-1",1
"Bacillus sp. JS",4
"Bacillus sp. FSL K6-1012",5
"Bacillus sp. FSL L8-0528",1
"Bacillus sp. FSL K6-1560",9
"Bacillus sp. MBGLi79",4
"Bacillus sp. LJBS06",4
"Bacillus sp. FSL K6-1366",12
"Bacillus anthracis",470
"Bacillus cereus",224
"Bacillus wiedmannii",1
"Bacillus thuringiensis",3
